mes,grupo,modelo_id,ganancia_test,archivo
202104,april,april_seed1,377600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,april,april_seed2,380000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,april,april_seed3,372800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,april,april_seed4,376800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,april,april_seed5,369600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,GLOBAL,ensamble_global,377600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202104,GRUPOS,ensamble_grupos,377600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202104.csv
202106,june,june_seed1,345600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,june,june_seed2,356000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,june,june_seed3,346400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,june,june_seed4,354400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,june,june_seed5,348800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,GLOBAL,ensamble_global,353600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202106,GRUPOS,ensamble_grupos,353600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Pruebo Undersampling solo en Meses viejos V2_202106.csv
202104,final_training_april,final_training_april_seed1,374400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,final_training_april,final_training_april_seed2,379200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,final_training_april,final_training_april_seed3,380000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,final_training_april,final_training_april_seed4,376800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,final_training_april,final_training_april_seed5,380000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,GLOBAL,ensamble_global,380000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202104,GRUPOS,ensamble_grupos,380000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202104.csv
202106,final_training_june,final_training_june_seed1,367200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,final_training_june,final_training_june_seed2,362400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,final_training_june,final_training_june_seed3,360000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,final_training_june,final_training_june_seed4,369600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,final_training_june,final_training_june_seed5,362400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,GLOBAL,ensamble_global,363200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202106,GRUPOS,ensamble_grupos,363200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2 - Saco los CTRL Adicionales_202106.csv
202104,final_training_april,final_training_april_seed1,386400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,final_training_april,final_training_april_seed2,375200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,final_training_april,final_training_april_seed3,382400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,final_training_april,final_training_april_seed4,375200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,final_training_april,final_training_april_seed5,376000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,GLOBAL,ensamble_global,380800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202104,GRUPOS,ensamble_grupos,380800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202104.csv
202105,final_training_mayo,final_training_mayo_seed1,197600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,final_training_mayo,final_training_mayo_seed2,204000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,final_training_mayo,final_training_mayo_seed3,204000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,final_training_mayo,final_training_mayo_seed4,203200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,final_training_mayo,final_training_mayo_seed5,203200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,GLOBAL,ensamble_global,204800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202105,GRUPOS,ensamble_grupos,204800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202105.csv
202106,final_training_june,final_training_june_seed1,372000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,final_training_june,final_training_june_seed2,354400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,final_training_june,final_training_june_seed3,357600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,final_training_june,final_training_june_seed4,372000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,final_training_june,final_training_june_seed5,364800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,GLOBAL,ensamble_global,362400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202106,GRUPOS,ensamble_grupos,362400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202106.csv
202107,final_training_julio,final_training_julio_seed1,420000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,final_training_julio,final_training_julio_seed2,406400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,final_training_julio,final_training_julio_seed3,415200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,final_training_julio,final_training_julio_seed4,411200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,final_training_julio,final_training_julio_seed5,417600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,GLOBAL,ensamble_global,421600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202107,GRUPOS,ensamble_grupos,421600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V2_202107.csv
202104,april,april_seed1,383200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,april,april_seed2,378400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,april,april_seed3,381600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,april,april_seed4,380800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,april,april_seed5,372800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,GLOBAL,ensamble_global,382400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202104,GRUPOS,ensamble_grupos,382400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202104.csv
202106,june,june_seed1,342400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,june,june_seed2,338400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,june,june_seed3,344800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,june,june_seed4,356800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,june,june_seed5,352800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,GLOBAL,ensamble_global,346400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202106,GRUPOS,ensamble_grupos,346400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos V3 - Agrego a meses viejos seasonality_202106.csv
202104,april,april_seed1,384800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,april,april_seed2,352000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,april,april_seed3,346400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,april,april_seed4,361600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,april,april_seed5,360000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,GLOBAL,ensamble_global,359200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202104,GRUPOS,ensamble_grupos,359200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202104.csv
202106,june,june_seed1,384000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,june,june_seed2,385600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,june,june_seed3,365600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,june,june_seed4,376800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,june,june_seed5,383200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,GLOBAL,ensamble_global,387200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202106,GRUPOS,ensamble_grupos,387200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Agrego meses antes y despues_202106.csv
202104,april,april_seed1,376000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,april,april_seed2,375200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,april,april_seed3,374400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,april,april_seed4,374400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,april,april_seed5,365600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,GLOBAL,ensamble_global,373600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202104,GRUPOS,ensamble_grupos,373600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202104.csv
202106,june,june_seed1,354400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,june,june_seed2,357600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,june,june_seed3,348000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,june,june_seed4,348000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,june,june_seed5,349600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,GLOBAL,ensamble_global,356800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202106,GRUPOS,ensamble_grupos,356800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank (200 Percentiles) V2_202106.csv
202104,april,april_seed1,372000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,april,april_seed2,370400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,april,april_seed3,366400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,april,april_seed4,372000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,april,april_seed5,365600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,GLOBAL,ensamble_global,379200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202104,GRUPOS,ensamble_grupos,379200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202104.csv
202105,mayo,mayo_seed1,193600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,mayo,mayo_seed2,188800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,mayo,mayo_seed3,192000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,mayo,mayo_seed4,190400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,mayo,mayo_seed5,197600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,GLOBAL,ensamble_global,193600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202105,GRUPOS,ensamble_grupos,193600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202105.csv
202106,june,june_seed1,374400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,june,june_seed2,360000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,june,june_seed3,374400000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,june,june_seed4,371200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,june,june_seed5,363200000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,GLOBAL,ensamble_global,369600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202106,GRUPOS,ensamble_grupos,369600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V2_202106.csv
202107,julio,julio_seed1,416000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
202107,julio,julio_seed2,409600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
202107,julio,julio_seed3,416000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
202107,julio,julio_seed4,416800000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
202107,julio,julio_seed5,416000000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
202107,GLOBAL,ensamble_global,413600000.0,ganancias_Modelo Final US 0.2 - Uso Meses Corridos y seasonality - Cambio IPC por Percentiles Rank V3_202107.csv
