feature,importance_gain,importance_split
ctrx_quarter_normalizado,188253.4443449974,287
ctrx_quarter,127925.31091737747,317
mtarjeta_visa_consumo,78181.68719649315,138
Visa_status,65699.24034833908,54
mcaja_ahorro,64883.80688786507,336
cdescubierto_preacordado_delta_mean_4,58007.312168598175,79
msaldo_total,55539.31739974022,311
cuso_tarjeta_ratio,54974.0095205307,171
msaldo_total_pesos,54760.10916209221,266
ctarjeta_visa_transacciones,39158.758382320404,172
cdescubierto_preacordado,29760.048283576965,103
mcuentas_saldo,27097.813843488693,382
cdias_mora_promedio,25660.725426197052,109
mprestamos_personales,22123.865019083023,460
cdescubierto_preacordado_delta_mean_8,21225.16073536873,98
mpayroll,19440.231950044632,178
cpayroll_trx,19036.432416439056,78
foto_mes,16217.233910560608,275
cprestamos_personales,16077.048474311829,249
Visa_mpagominimo,15590.290003299713,204
mactivos_margen,14292.856293678284,415
tes_empleado,12298.850269317627,40
mingresos_por_producto_ratio,11798.320518732071,163
mcuenta_corriente,11520.605840206146,349
msaldo_vs_movimientos_ratio,11325.987378358841,326
cproductos_delta_mean_4,10832.301072835922,118
TC_Total_msaldopesos,10688.162803411484,125
mpasivos_margen,10642.642801523209,242
TC_Total_mpagospesos,10482.850959300995,204
ccomisiones_mantenimiento_delta_mean_8,10170.376979112625,240
ctarjeta_visa_delta_mean_8,9959.899624109268,49
mingresos_mensuales,9818.000061511993,168
cdias_mora_promedio_delta_2,9410.20618724823,36
TC_Total_mpagominimo,9349.295324325562,231
mautoservicio,9222.504257917404,99
cproductos_delta_mean_8,8757.330655097961,202
ccaja_ahorro,8572.365721702576,154
mrentabilidad_vs_margen,8429.969814538956,316
slope_mcaja_ahorro_adicional_6_window,8116.423411846161,173
ctarjeta_visa_transacciones_delta_mean_8,7258.916257858276,228
slope_Visa_Finiciomora_3_window,7052.6673884391785,62
Visa_mpagospesos,6612.5245888233185,131
cliente_edad,6408.1293976306915,538
TC_Total_mconsumospesos,6210.759905338287,164
ctarjeta_visa_delta_mean_4,6051.977974414825,15
cprestamos_personales_delta_mean_8,6002.1182289123535,127
Visa_mfinanciacion_limite,5992.060176610947,230
mcomisiones_mantenimiento,5814.777832508087,282
mdeuda_tarjetas_total,5664.146567821503,92
slope_mprestamos_personales_3_window,5615.503317117691,186
cproductos,5541.178675174713,196
ctarjeta_visa_debitos_automaticos_delta_mean_8,5396.764449834824,200
Visa_fechaalta,5357.909719705582,409
ccomisiones_mantenimiento_delta_mean_4,5313.355024337769,142
slope_mprestamos_prendarios_6_window,5302.755483627319,158
slope_msaldo_vs_movimientos_ratio_3_window,5198.955631971359,111
TC_Total_mfinanciacion_limite,5153.408098697662,231
slope_mingresos_vs_saldo_ratio_3_window,5122.242626190186,80
slope_mpayroll2_6_window,5111.6725306510925,188
mingresos_vs_saldo_ratio,5081.37827372551,118
numero_de_cliente,5061.565835952759,497
mprestamos_prendarios,4793.917477607727,134
ctrx_quarter_normalizado_delta_mean_4,4745.343415975571,179
TC_Total_Fvencimiento,4609.681636571884,409
cliente_antiguedad,4578.17432308197,413
slope_mprestamos_prendarios_3_window,4567.803222417831,143
cprestamos_personales_delta_mean_4,4558.074689149857,92
ccaja_seguridad,4487.7356379032135,102
cdias_mora_promedio_delta_mean_4,4432.270096540451,55
cdescubierto_preacordado_delta_3,4381.843704223633,11
mcomisiones_ratio,4177.4883670806885,295
cproductos_delta_2,4155.543132543564,43
mcuenta_debitos_automaticos,4148.305162906647,192
mpagomiscuentas,4025.4471588134766,114
ctrx_quarter_normalizado_delta_mean_8,3990.332468509674,226
ccaja_ahorro_delta_mean_8,3983.0110154151917,79
Visa_Fvencimiento,3909.1055903434753,389
Master_fechaalta,3903.859774827957,340
TC_Total_msaldototal,3888.2183899879456,134
mflujo_cheques,3869.512715816498,111
mcomisiones,3834.9487006664276,258
mrentabilidad,3768.680402994156,261
ctrx_quarter_delta_mean_8,3736.380598306656,220
TC_Total_fechaalta,3728.52503323555,304
mrentabilidad_annual,3695.2823855876923,293
mmargen_por_cuenta_ratio,3689.9255590438843,188
slope_mcomisiones_mantenimiento_6_window,3686.2711572647095,207
slope_msaldo_total_pesos_3_window,3618.0002224445343,134
slope_mpayroll_6_window,3492.851291179657,144
mrentabilidad_media_mensual,3412.137761592865,322
mcomisiones_otras,3293.1497576236725,246
cprestamos_personales_delta_2,3222.649130821228,52
ctarjeta_visa_transacciones_delta_mean_4,3209.2513535022736,133
slope_Visa_Fvencimiento_3_window,3198.8550367355347,288
mtarjeta_master_consumo,3186.968593120575,115
tsin_sueldo_mes_delta_mean_8,3096.204990386963,100
slope_mingresos_mensuales_3_window,3096.0687351226807,98
slope_mprestamos_personales_6_window,3027.6562242507935,175
Master_Fvencimiento,3008.7526087760925,320
slope_Visa_fechaalta_6_window,2994.4382812976837,258
mmargen_por_producto,2982.3182365894318,241
muso_credito_ratio,2947.3492398262024,187
cprestamos_personales_delta_3,2936.7357230186462,42
mflujo_netotransf,2842.6332120895386,207
ctrx_quarter_delta_2,2733.948525905609,155
ctrx_quarter_delta_mean_4,2731.8773267269135,172
ccaja_ahorro_delta_mean_4,2728.1834983825684,80
mmargen_total,2721.781054496765,210
TC_Total_cconsumos_delta_mean_8,2705.1510746479034,146
slope_mrentabilidad_vs_margen_6_window,2652.202395439148,190
Visa_Fvencimiento_delta_mean_8,2639.8280022144318,148
cdias_mora_promedio_delta_mean_8,2617.5837914943695,81
Master_status,2593.3867173194885,33
slope_Master_fechaalta_6_window,2543.701676130295,248
mtransferencias_recibidas,2536.0576481819153,122
slope_mcuenta_corriente_6_window,2522.3530118465424,213
Visa_mlimitecompra,2503.118880033493,194
slope_Master_Fvencimiento_6_window,2496.645026445389,255
slope_mflujo_cheques_6_window,2465.7181119918823,132
slope_mflujo_cheques_3_window,2461.8792600631714,91
cuso_digital_ratio,2435.380844116211,187
Visa_msaldopesos,2419.6009862422943,130
Visa_cconsumos_delta_mean_8,2406.8374230861664,202
slope_Visa_fechaalta_3_window,2372.2704589366913,201
slope_mrentabilidad_media_mensual_6_window,2337.898895740509,217
ctarjeta_master_delta_mean_8,2334.7036097049713,37
ctarjeta_visa,2330.1441559791565,18
slope_mrentabilidad_annual_6_window,2317.872274160385,181
chomebanking_transacciones,2303.7019448280334,175
slope_mcaja_ahorro_dolares_6_window,2278.218579530716,212
slope_mcaja_ahorro_3_window,2272.794116973877,139
ctrx_quarter_normalizado_delta_2,2235.487783908844,183
ccuenta_debitos_automaticos_delta_mean_8,2235.062092781067,158
cproductos_uso_ratio_delta_mean_8,2233.045773267746,178
slope_Visa_fultimo_cierre_6_window,2225.885111808777,218
cdias_mora_promedio_delta_3,2215.988748073578,26
msaldo_total_dolares,2193.7304792404175,170
Master_mfinanciacion_limite,2179.911794424057,192
cuso_tarjeta_ratio_delta_mean_8,2157.3614938259125,143
ccanales_activos_delta_mean_8,2156.9545528888702,172
tcallcenter_delta_mean_8,2151.8953461647034,139
slope_mcomisiones_otras_6_window,2134.902654647827,157
slope_mcomisiones_6_window,2124.775606393814,176
slope_mingresos_vs_saldo_ratio_6_window,2088.905130624771,93
ccajas_transacciones_delta_mean_8,2086.74431347847,182
slope_mactivos_margen_3_window,2086.171774625778,167
cpagomiscuentas_delta_mean_8,2067.7889194488525,152
ccallcenter_transacciones_delta_mean_8,2061.5065104961395,162
Visa_msaldototal,2061.4226372241974,142
chomebanking_transacciones_delta_mean_8,2059.32497215271,178
slope_mcomisiones_ratio_6_window,2059.028260707855,213
slope_Visa_mconsumosdolares_6_window,2034.7250850200653,203
slope_Master_fechaalta_3_window,2027.3748400211334,185
slope_msaldo_total_dolares_6_window,2002.4270603656769,159
Master_mlimitecompra,1998.4774932861328,188
Visa_fechaalta_delta_2,1996.7353603839874,19
cuso_digital_ratio_delta_mean_8,1991.1345818042755,203
slope_mcaja_ahorro_6_window,1976.9027979373932,166
ccanales_activos,1975.6817939281464,89
tes_empleado_delta_mean_8,1973.79434299469,92
ccajas_consultas_delta_mean_8,1969.7736468315125,174
ctarjeta_master_delta_mean_4,1963.3453798294067,16
Master_msaldototal,1956.8004624843597,145
slope_mtransferencias_recibidas_3_window,1952.0322041511536,173
ccomisiones_mantenimiento_delta_3,1944.8008968830109,65
ctransferencias_emitidas_delta_mean_8,1940.0660631656647,137
mcaja_ahorro_dolares,1938.0804438591003,162
slope_Visa_mpagominimo_6_window,1937.179654121399,158
Master_mpagospesos,1911.3698444366455,104
slope_mtransferencias_emitidas_6_window,1910.8476159572601,155
ctrx_quarter_delta_3,1909.1664707660675,184
ccomisiones_mantenimiento,1905.3275306224823,74
slope_Visa_Fvencimiento_6_window,1900.237297296524,194
slope_mcuentas_saldo_6_window,1881.5379254817963,137
cactividad_total,1861.6261930465698,158
slope_Visa_msaldopesos_6_window,1853.2243874073029,101
slope_mpayroll_3_window,1849.0810775756836,114
Visa_fultimo_cierre_delta_mean_4,1847.1013054847717,74
slope_msaldo_total_6_window,1845.6681203842163,145
cproductos_uso_ratio,1838.8607125282288,160
ccomisiones_mantenimiento_delta_2,1834.7013430595398,58
slope_mflujo_netotransf_6_window,1828.7301399707794,179
ctarjeta_visa_debitos_automaticos_delta_mean_4,1822.2882351875305,101
ctarjeta_visa_transacciones_delta_3,1816.324002981186,130
slope_TC_Total_mconsumospesos_6_window,1812.7155394554138,130
slope_Master_Fvencimiento_3_window,1805.4388635158539,192
slope_mcuenta_debitos_automaticos_6_window,1777.8288924694061,153
slope_Visa_mpagominimo_3_window,1775.6082651615143,117
slope_mrentabilidad_annual_3_window,1766.8508241176605,157
slope_Master_fultimo_cierre_6_window,1760.4095339775085,173
cactividad_total_delta_mean_8,1754.4132056236267,146
slope_TC_Total_mpagominimo_3_window,1751.8838522434235,85
slope_mcuenta_corriente_3_window,1750.7720274925232,145
Visa_Finiciomora_delta_mean_4,1749.6338477134705,26
Visa_cconsumos,1741.572906255722,172
slope_mtransferencias_recibidas_6_window,1726.8137204647064,161
slope_Master_fultimo_cierre_3_window,1721.0378410816193,177
slope_mrentabilidad_media_mensual_3_window,1715.0572605133057,176
slope_mcomisiones_mantenimiento_3_window,1711.700344800949,135
slope_mmargen_por_producto_6_window,1710.2177648544312,156
ctrx_quarter_normalizado_delta_3,1706.1716146469116,156
slope_msaldo_vs_movimientos_ratio_6_window,1705.7146635055542,154
slope_mrentabilidad_vs_margen_3_window,1700.1513376235962,144
TC_Total_mlimitecompra,1682.0373032093048,154
Visa_fultimo_cierre_delta_mean_8,1673.6251163482666,80
chomebanking_transacciones_delta_mean_4,1660.155580997467,149
slope_Visa_mfinanciacion_limite_6_window,1658.6965384483337,163
Visa_fultimo_cierre_delta_3,1657.1121351718903,33
Visa_mconsumospesos,1654.533132314682,171
thomebanking_delta_mean_8,1643.217524766922,152
slope_Visa_mlimitecompra_6_window,1639.975011587143,159
Visa_cconsumos_delta_mean_4,1637.67733168602,155
Visa_fechaalta_delta_mean_8,1630.8071839809418,75
slope_TC_Total_mpagominimo_6_window,1626.690929889679,132
slope_mingresos_por_producto_ratio_6_window,1619.249353647232,99
mttarjeta_visa_debitos_automaticos,1618.0436215400696,146
mcuenta_corriente_adicional,1605.8637776374817,64
slope_mcomisiones_ratio_3_window,1594.8254811763763,153
slope_Visa_fultimo_cierre_3_window,1587.8916518688202,154
slope_matm_6_window,1581.1762340068817,145
Visa_Finiciomora_delta_mean_8,1573.8166885375977,45
slope_mflujo_netotransf_3_window,1571.6898074150085,142
chomebanking_transacciones_delta_2,1562.9014267921448,144
slope_Master_msaldototal_6_window,1561.0745663642883,84
Visa_Finiciomora,1558.936022758484,57
slope_muso_credito_ratio_6_window,1555.7808949947357,132
ctarjeta_visa_transacciones_delta_2,1551.6864717006683,130
slope_mextraccion_autoservicio_6_window,1543.78462433815,139
mtransferencias_emitidas,1532.2507338523865,112
slope_Master_mfinanciacion_limite_3_window,1531.2227187156677,134
cactividad_total_delta_3,1522.8530988693237,162
slope_mextracciones_ratio_6_window,1522.7651770114899,149
chomebanking_transacciones_delta_3,1521.0751612186432,155
ccanales_activos_delta_mean_4,1512.1690278053284,110
cuso_digital_ratio_delta_2,1504.4680125713348,161
slope_mrentabilidad_6_window,1499.7423403263092,156
Visa_fultimo_cierre,1492.7075407505035,151
Master_fultimo_cierre,1491.7997467517853,158
cproductos_uso_ratio_delta_3,1485.54807305336,147
slope_mautoservicio_6_window,1467.531448841095,145
mextracciones_ratio,1459.003984451294,148
slope_mcomisiones_3_window,1452.7185163497925,136
slope_msaldo_total_pesos_6_window,1444.8861637115479,126
slope_mcaja_ahorro_adicional_3_window,1444.4701743125916,92
thomebanking,1443.0862226486206,44
slope_mcuentas_saldo_3_window,1432.963482618332,118
cproductos_uso_ratio_delta_2,1426.0331089496613,137
talta_mora,1417.8409643173218,16
ctarjeta_debito_delta_mean_8,1413.5731437206268,120
slope_TC_Total_mpagospesos_6_window,1413.4827139377594,115
TC_Total_cconsumos_delta_mean_4,1413.209168434143,108
ctransferencias_emitidas_delta_mean_4,1409.050362586975,119
ctransferencias_recibidas_delta_mean_8,1408.9654204845428,145
mlimite_tarjetas_total,1386.9654314517975,131
ccallcenter_transacciones,1385.4453599452972,63
slope_minversion_ratio_3_window,1383.5723338127136,72
Master_cconsumos_delta_mean_8,1383.4712452888489,122
cactividad_total_delta_mean_4,1376.4419484138489,138
slope_mtransferencias_emitidas_3_window,1364.1165778636932,118
mcaja_ahorro_adicional,1362.9867556095123,113
slope_mttarjeta_visa_debitos_automaticos_3_window,1358.1738123893738,120
slope_mactivos_margen_6_window,1353.693868637085,140
slope_mingresos_mensuales_6_window,1350.9711825847626,108
slope_Visa_mconsumospesos_6_window,1340.4432411193848,134
ctarjeta_debito_transacciones_delta_mean_8,1334.1796600818634,138
slope_mpasivos_margen_3_window,1322.724999666214,121
slope_Master_mlimitecompra_6_window,1314.9473400115967,117
slope_TC_Total_mfinanciacion_limite_3_window,1314.726572751999,95
cpayroll_trx_delta_mean_4,1303.5707650184631,68
slope_mmargen_por_cuenta_ratio_6_window,1298.9232034683228,99
slope_msaldo_total_dolares_3_window,1296.391201019287,121
cdescubierto_preacordado_delta_2,1291.527105808258,20
slope_TC_Total_mlimitecompra_6_window,1290.9832634925842,110
slope_mextracciones_ratio_3_window,1280.1206321716309,114
slope_mcuenta_corriente_adicional_6_window,1279.1931638717651,68
slope_mingresos_por_producto_ratio_3_window,1278.2603936195374,77
tes_empleado_delta_mean_4,1275.2664699554443,36
ctarjeta_debito_transacciones_delta_2,1264.1906361579895,118
slope_mttarjeta_visa_debitos_automaticos_6_window,1263.037778377533,110
slope_TC_Total_mfinanciacion_limite_6_window,1261.8733670711517,117
slope_Master_mfinanciacion_limite_6_window,1258.046557188034,124
slope_mmargen_total_6_window,1257.9480953216553,126
slope_mpagomiscuentas_6_window,1257.4172687530518,127
slope_Visa_mconsumospesos_3_window,1254.8886728286743,112
slope_matm_other_3_window,1253.362710237503,120
cmobile_app_trx_delta_mean_8,1243.522557258606,113
slope_mautoservicio_3_window,1240.4262611865997,120
slope_Visa_mpagospesos_6_window,1240.3214039802551,103
cuso_digital_ratio_delta_3,1239.4576346874237,136
cuso_digital_ratio_delta_mean_4,1232.860200881958,121
mplazo_fijo_dolares,1232.3063893318176,58
Master_msaldopesos,1221.6467983722687,115
slope_mrentabilidad_3_window,1220.3921308517456,128
cuso_tarjeta_ratio_delta_3,1211.5965883731842,121
ccajas_consultas_delta_mean_4,1211.529736995697,105
cpayroll_trx_delta_mean_8,1198.7571585178375,78
tmora_total,1191.1604900360107,15
Master_mconsumospesos,1185.7166447639465,94
tcallcenter_delta_mean_4,1178.1964859962463,62
TC_Total_fultimo_cierre,1173.240092754364,114
ctarjeta_master_transacciones,1170.937258720398,59
slope_mcaja_ahorro_dolares_3_window,1167.693996667862,121
slope_mcuenta_debitos_automaticos_3_window,1167.585692167282,97
Master_madelantopesos,1158.3685677051544,85
Visa_cconsumos_delta_2,1158.0391187667847,118
slope_mmargen_total_3_window,1148.7217333316803,97
TC_Total_cconsumos_delta_3,1147.6660642623901,89
slope_Master_mconsumospesos_6_window,1142.3346753120422,99
Master_Fvencimiento_delta_mean_8,1138.5345647335052,91
ccallcenter_transacciones_delta_mean_4,1136.193737745285,92
slope_mcomisiones_otras_3_window,1129.5932507514954,104
slope_minversion_ratio_6_window,1126.7076799869537,96
tmora_total_delta_mean_8,1125.1217563152313,53
tmobile_app_delta_mean_8,1123.8611290454865,98
ctarjeta_debito_transacciones,1123.2325270175934,78
ctarjeta_master_transacciones_delta_mean_8,1121.3224303722382,88
slope_TC_Total_mpagado_6_window,1117.995676279068,109
slope_Visa_mpagado_6_window,1106.7799570560455,117
slope_Visa_mconsumototal_6_window,1103.3233199119568,111
slope_Visa_mlimitecompra_3_window,1098.158667087555,114
cproductos_delta_3,1094.111343383789,48
cactividad_total_delta_2,1088.0065660476685,120
catm_trx_other_delta_mean_8,1080.8116314411163,104
slope_mmargen_por_producto_3_window,1080.6902842521667,108
slope_Master_mconsumototal_6_window,1071.9636509418488,95
slope_mpayroll2_3_window,1068.65296792984,78
slope_mpasivos_margen_6_window,1068.4950335025787,100
TC_Total_cconsumos,1065.925873041153,95
cuso_tarjeta_ratio_delta_mean_4,1064.062391281128,119
tusa_app_o_homebanking_delta_mean_8,1063.7909836769104,116
Visa_status_delta_mean_8,1062.9435639381409,28
slope_Master_msaldototal_3_window,1062.1941866874695,77
cproductos_uso_ratio_delta_mean_4,1058.1964027881622,98
ccaja_ahorro_delta_3,1058.1533789634705,16
slope_mcuenta_corriente_adicional_3_window,1054.3193755149841,74
ccallcenter_transacciones_delta_3,1053.6025626659393,73
cuso_tarjeta_ratio_delta_2,1050.3513479232788,118
ctarjeta_visa_descuentos_delta_mean_8,1043.3359022140503,88
minversion_ratio,1039.2789566516876,102
slope_Master_mpagominimo_6_window,1038.1996083259583,98
ctarjeta_debito_transacciones_delta_mean_4,1037.382126569748,100
slope_matm_other_6_window,1032.8943302631378,107
ccuenta_debitos_automaticos_delta_mean_4,1032.450965642929,67
slope_Visa_Finiciomora_6_window,1032.0342557430267,67
slope_msaldo_total_3_window,1031.3086686134338,90
mextraccion_autoservicio,1026.115897655487,70
Visa_cconsumos_delta_3,1024.7515985965729,100
slope_mtarjeta_visa_consumo_3_window,1018.5646402835846,81
slope_Master_msaldopesos_6_window,1015.9380209445953,115
ctarjeta_visa_debitos_automaticos_delta_3,1015.1800241470337,55
slope_muso_credito_ratio_3_window,1013.3442890644073,76
slope_matm_3_window,1011.35946393013,92
slope_Visa_msaldodolares_6_window,1010.2507333755493,97
slope_mcajeros_propios_descuentos_6_window,1008.3891115188599,82
slope_Visa_mfinanciacion_limite_3_window,1001.7730360031128,93
TC_Total_status,1001.551275730133,21
cextraccion_autoservicio,1001.2644805908203,58
slope_mforex_sell_6_window,997.9618711471558,96
ctarjeta_debito_transacciones_delta_3,993.9038624763489,101
ccajas_extracciones_delta_mean_8,993.2851250171661,105
slope_Master_madelantopesos_6_window,990.7288312911987,79
ctarjeta_debito,988.4185292720795,96
slope_TC_Total_mconsumosdolares_6_window,972.8258533477783,101
slope_TC_Total_mconsumototal_6_window,971.3290100097656,82
TC_Total_cconsumos_delta_2,962.0327863693237,80
ctarjeta_visa_descuentos_delta_mean_4,961.1129500865936,65
slope_Visa_mpagosdolares_6_window,960.0207235813141,91
ccallcenter_transacciones_delta_2,958.1963341236115,62
cplazo_fijo,950.0154001712799,45
slope_mpagomiscuentas_3_window,949.6745910644531,98
cplazo_fijo_delta_mean_8,943.8610255718231,64
Master_mpagominimo,941.6790668964386,77
slope_mmargen_por_cuenta_ratio_3_window,940.6699552536011,89
Visa_mconsumosdolares,935.2783682346344,93
ccuenta_debitos_automaticos,931.2971799373627,71
slope_mcheques_emitidos_rechazados_3_window,926.9843833446503,45
catm_trx_delta_mean_8,925.6343402862549,102
cextraccion_autoservicio_delta_3,919.6709003448486,81
slope_mtarjeta_visa_consumo_6_window,917.1224927902222,86
ccajas_otras_delta_mean_8,903.8161578178406,79
slope_mextraccion_autoservicio_3_window,887.1259427070618,80
mpayroll2,885.4057669639587,59
Master_fechaalta_delta_mean_8,884.0100698471069,83
TC_Total_mconsumototal,883.6939158439636,83
ctarjeta_master_descuentos,881.1130421161652,45
ccajas_depositos_delta_mean_8,878.255613565445,99
Master_mpagado,864.9322462081909,39
slope_Master_madelantopesos_3_window,861.9713809490204,81
ctransferencias_recibidas_delta_mean_4,847.2033276557922,85
cextraccion_autoservicio_delta_mean_8,842.5357661247253,83
